guid/image/axis,value
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/x,0.46482825
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/y,-1.3871585
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0000/z,15.836682
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/x,0.45758784
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/y,-1.4320605
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0001/z,16.173626
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/x,0.536711
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/y,-0.94137204
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0002/z,12.491502
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/x,0.5276829
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/y,-0.99736005
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0003/z,12.911636
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/x,0.52992445
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/y,-0.983459
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0004/z,12.807322
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/x,0.508673
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/y,-1.1152515
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0005/z,13.796293
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/x,0.50155187
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/y,-1.1594139
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0006/z,14.127687
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/x,0.49643686
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/y,-1.191135
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0007/z,14.365723
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/x,0.4998498
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/y,-1.1699693
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0008/z,14.206896
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0009/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0010/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0011/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0012/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0013/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0014/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0015/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0016/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0017/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0018/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0019/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0020/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0021/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0022/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0023/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0024/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0025/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0026/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0027/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0028/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0029/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0030/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0031/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/x,0.66691047
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/y,-0.13392882
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0032/z,6.4324503
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0033/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0034/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/x,-1.851861
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/y,-2.976852
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0035/z,36.597186
0410e7f5-4bfd-4d35-b623-9f8d6b87c179/0036/x,-1.851861
